,Humidity_Sensor,Ventilator,CO2_Sensor,heater,window_sensor0,window_sensor1,air_conditioner,CO_Detection_Sensor,Light0,Light1,occupancy_sensor,thermometer,fire_alarm,brightness_sensor,motion_sensor,smoke_sensor,media_player,projector,Smart_TV,speaker,Light_controller,,,,
Humidity_Sensor,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,,,
Ventilator,2,0,2,2,3,3,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,,,,
CO2_Sensor,0,2,0,0,3,3,0,0,0,0,0,0,2,0,0,3,0,0,0,3,0,,,,
heater,2,3,2,0,2,2,3,0,0,0,0,3,3,0,0,3,0,0,0,0,0,,,,
window_sensor0,2,2,2,3,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,,,,
window_sensor1,2,2,2,3,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,,,,
air_conditioner,2,3,2,3,3,3,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,,,,
CO_Detection_Sensor,0,2,0,0,2,2,0,0,0,0,0,0,2,0,0,0,3,0,0,3,0,,,,
Light0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,0,0,0,3,4,,,,
Light1,0,0,0,0,0,0,0,0,3,0,2,0,0,2,0,0,0,0,0,3,4,,,,
occupancy_sensor,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,4,,,,
thermometer,0,2,0,3,2,2,3,0,0,0,0,0,2,0,0,0,0,0,0,3,0,,,0,无连接
fire_alarm,2,3,2,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,,,1,直接通信
brightness_sensor,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,2,3,0,0,3,0,,,2,间接物理依赖
motion_sensor,0,0,0,3,0,0,3,0,3,3,0,0,0,3,0,0,3,3,3,3,0,,,3,APP依赖
smoke_sensor,0,2,0,3,0,0,0,0,3,3,0,0,2,2,0,0,3,0,0,3,0,,,4,直接物理依赖
media_player,0,3,0,3,0,0,0,0,3,3,0,0,0,3,0,0,0,3,3,3,0,,,,
projector,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,0,,,,
Smart_TV,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,3,0,0,3,0,,,,
speaker,0,3,0,3,0,0,3,0,3,3,0,0,0,0,0,0,3,2,2,0,0,,,,
Light_controller,0,0,0,0,0,0,0,0,4,4,4,0,0,3,0,0,0,0,0,0,0,,,,
